Title,Selling,Condition,Paperback,Edition,International Edition,ISBN10,ISBN13,ISBN Other,Price
Astronomy: A Physical Perspective,Y,Fair,Y,2,N,,,978-0-521-52927-3,
Ancient Rome: A New History,Y,Very Good,Y,2,N,,,978-0-500-29124-5,
The Landmark Thucydides: A Comprehensive Guide to the Peloponnesian War,Y,Good,N,2,N,1-4165-9087-0,978-1-4165-9087-3,,
Discrete Mathematics and Its Applications,Y,Very Good,N,4,N,,,0-07-289905-0,
Computer Systems: A Programmer's Perspective,Y,Good,Y,2,Y,,,978-7-111-32631-1,
An Introduction to Modern Cosomology,Y,Good,Y,3,N,,,978-1-118-50214-3,
Out of Town,Y,Great,Y,1,N,,,0-9665018-5-3,
Classical Mechanics,N,Great,N,1,N,1-891389-22-X,,978-1-891389-22-1,
Object Oriented Data Structures Using Java,Y,Great,Y,3,Y,,,978-93-80853-29-1,
Introduction to the Theory of Computation,Y,Great,Y,3,Y,81-315-2529-5,978-81-315-2529-6,,
Paradoxes,Y,Very Good,Y,3,N,,,978-0521-727079-3,
Blind Watchers of the Sky,Y,Very Good,Y,1,N,,,0-201-15496-X,
The Elegant Universe,Y,Good,Y,1,N,,,0-375-70811-1,
The Cost of Discipleship,Y,Good,Y,1,N,0-684-81500-1,978-0-684-81500-8,,
Early Greece,Y,Great,N,2,N,,,0-674-22132-X,
Tacitus: The Annals of Ancient Rome,Y,Very Good,Y,2,N,0-140-44060-7,978-0-140-44060-7,,
Livy: The Early History of Rome,Y,Good,Y,1,N,,978-0-140-44809-2,,
The Complete Euripides: Volume II,Y,Very Good,Y,1,N,,,978-0-19-538869-5,
Bakkhai,Y,Good,Y,1,N,0-19-512598-3,978-0-19-512598-6,,
Hippolytos,Y,Great,Y,1,N,0-19-507290-1,978-0-19-507290-7,,
Iliad,Y,Great,Y,1,N,,978-0-87220-352-5,0-87220-352-2,
The Reformation of the Image,Y,Great,Y,1,N,0-226-44837-1,978-0-226-44837,,
Apollonius of Rhodes: Jason and the Golden Fleece,Y,Great,Y,1,N,,,978-0-19-953872-0,
Greece in the Making,Y,Very Good,Y,2,N,0-415-46992-9,978-0-415-46991-3,,
Linear Algebra With Applications,Y,Great,N,4,N,0-13-600926-3,978-0-13-600926-9,,
Linear Algebra and its Applications,Y,Great,Y,4,Y,0-321-62335-5,978-0-321-62335-5,,
Linear Algebra and its Applications: Study Guide,Y,Very Good,Y,1,N,0-321-38883-6,978-0-321-38883-4,,
Martin Luter's Basic Theological Writings,Y,Very Good,Y,3,N,0-8006-9883-5,978-0-8006-9883-6,,
Python Programming: An Introduction to Computer Science,Y,Good,Y,1,N,,,1-887902-99-6,
Universe,Y,Good,Y,10,N,1-4641-2492-2,978-1-4641-2492-1,,
Ten Plays by Euripides,Y,Very Good,Y,1,N,,,0-553-21363-6,
Herodotus: The Histories,Y,Very Good,Y,3,N,,,0-14-044638-9,
Lysistrata and Other Plays,N,Good,Y,2,N,,978-0-14-044814-6,,
The Golden Ass,N,Very Good,Y,1,N,,,978-0-19-954055-6,
The Aeneid,N,Fair,Y,1,N,,,,
Metamorphoses,N,Good,Y,1,N,0-393-32642-X,978-0-393-32642-0,,
"A Christmas Carol, The Chimes, and The Cricket on the Hearth",N,Great,Y,1,N,,,978-1-59308-033-4,
The Oresteia,Y,Great,Y,1,N,,,0-14-044-33-9,
Anna Karenina,Y,Very Good,Y,1,N,,,0-679-78330-X,
Fourier Analysis and Its Applications,N,Good,Y,1,Y,,,7-111-15670-6,
Measuring the Universe: A Multiwavelength Perspective,N,Great,N,1,N,,,978-0-521-76229-8,
Cryptography and Network Security,N,Great,Y,6,N,,,978-93-325-1877-3,
Artificial Intelligence: A Modern Approach,N,Good,N,2,N,,,0-13-790395-2,
Topology,N,Great,Y,2,Y,,,978-93-325-4953-1,
The Poems of Catullus,N,Very Good,Y,1,N,,,978-0-520-25386-5,
Tao Te Ching,N,Very Good,Y,1,N,,,978-1-59308-256-7,
The Art of War,N,Good,Y,1,N,,,978-1-59308-016-7,
Faust,N,Great,N,1,N,,,,
Persians and Other Plays,N,Great,Y,1,N,,,978-0-19-283282-5,
"The Three Theban Plays: Antigone, Oedipus the King, and Oedipus at Colonus",N,Very Good,N,1,N,,,0-14-044-425-4,
The Rise and Fall of Athens: Nine Greek Lives,N,Very Good,Y,1,N,,,978-0-14-044102-4,
The Nature of the Gods,N,Great,Y,1,N,,,978-0-19-954006-8,
An Introduction to Thermal Physics,N,Very Good,Y,1,Y,,,978-93-325-3507-7,
Data Analysis: A Bayesian Tutorial,N,Good,Y,2,N,,,978-0-19-856832-2,
Gravity: An Introduction to Einstein's General Relativity,N,Good,Y,1,Y,,,978-93-325-3508-4,
The Brothers Karamazov,Y,Good,Y,1,N,,,0-486-43791-4,
Elementary Differential Equations,N,Great,N,10,N,,,978-0-470-45832-7,
Fundamentals of Music Processing,N,Great,N,1,N,,,978-3-319-21944-8,
Introduction to Machine Learning,N,Great,N,3,Y,,,978-81-203-5078-6,
Introduction to Electrodynamics,N,Good,Y,4,Y,,,978-81-203-4776-2,
WebGL Programming Guide,Y,Very Good,Y,1,N,0-321-90292-0,978-0-321-90292-4,,
Introduction to Parallel Computing,Y,Very Good,Y,2,Y,,,978-81-317-0807-1,
The Radio Sky and How to Observe It,N,Great,Y,1,N,,,978-1-4419-0882-7,
A Modern Approach to Quantum Mechanics,N,Good,Y,1,Y,,,978-81-309-1314-8,
